game_id,rows,cols,mines,moves,outcome,duration_s,rng_seed
1,9,9,10,23,win,27.454,2507939296
2,9,9,10,29,win,20.867,178400696
3,9,9,10,2,loss,14.937,1963483618
4,9,9,10,2,loss,16.979,2698644344
5,9,9,10,27,win,11.219,3607633058
1,15,15,15,31,win,27.609,3812540261
2,15,15,15,53,win,81.79,738992837
3,15,15,15,28,win,25.316,3887478248
4,15,15,15,29,win,1.572,1821418906
5,15,15,15,28,win,1.091,312938384
6,15,15,15,22,win,1.135,4130095019
7,15,15,15,12,win,1.602,647157470
8,15,15,15,27,win,1.759,3943053520
9,15,15,15,33,win,2.56,884736922
10,15,15,15,1,loss,2.629,1500169047
1,20,20,30,50,win,67.193,3048868111
2,20,20,30,60,win,266.768,2994319165
3,20,20,30,52,win,53.06,2638734738
4,20,20,30,65,win,224.431,2364775336
5,20,20,30,59,win,75.484,773136768
6,20,20,30,59,win,385.616,1982065507
7,20,20,30,64,win,596.14,2329766138
8,20,20,30,46,win,63.619,2303147463
9,20,20,30,58,win,122.55,3126023302
10,20,20,30,1,loss,68.027,714199756
11,20,20,30,53,win,158.032,1943663254
12,20,20,30,60,win,53.471,1016281365
13,20,20,30,62,win,67.832,3766879562
14,20,20,30,38,win,48.284,1430156295
15,20,20,30,62,win,55.056,3344648604
16,20,20,30,49,win,66.454,439798458
17,20,20,30,1,loss,57.719,865826578
18,20,20,30,54,win,56.425,1005405539
19,20,20,30,50,win,54.806,446576024
20,20,20,30,53,win,1933.973,2764690515
21,20,20,30,62,win,93.135,1021008117
22,20,20,30,1,loss,44.037,3099248065
23,20,20,30,64,win,39.279,1929596292
24,20,20,30,1,loss,38.373,876689040
25,20,20,30,58,win,42.436,3453415804